what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360023606607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360023817109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360023818061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360023820511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360023825651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024000069
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1360024000878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024003154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024324193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024328339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024397833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024399327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024444994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360024448764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025047919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025049608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025056709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025061709
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1360025067704
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1360025067737
error,log,,,"New Project Wizard failed",1360025079714
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1360025085226
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1360025085268
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1360025085486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025085546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025096039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025100190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025104185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025121407
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1360025123398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025135372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025137388
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1360025137393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025143237
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1360025167701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025169448
error,log,,,"Could not save master table to file '/Users/CourtneyArdis/Documents/AVF 1302/AVFapp/androidApp/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources'.",1360025169471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025169570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025183981
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1360025186775
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1360025190902
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1360025191574
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1360025196592
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1360025196658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025200258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360025213312
